Model,Prompt Type,F1,Precision,Recall,Accuracy,Timestamp
mistral:7b-instruct,Few-Shot,0.6318059299191374,0.5327272727272727,0.776158940397351,0.8180539932508436,2025-12-21 19:57:34
mistral:7b-instruct,Chain-of-Thought,0.6360520904729267,0.6590909090909091,0.614569536423841,0.860236220472441,2025-12-21 19:57:34
mistral:7b-instruct,Zero-Shot,0.6680299931833674,0.6882022471910112,0.6490066225165563,0.8720472440944882,2025-12-21 19:57:34
qwen2.5:14b,Zero-Shot,0.7889374090247452,0.875605815831987,0.7178807947019867,0.9206974128233971,2025-12-21 20:17:04
qwen2.5:14b,Chain-of-Thought,0.7809778968519759,0.7899728997289973,0.7721854304635761,0.9125421822272216,2025-12-21 20:17:04
qwen2.5:14b,Few-Shot,0.8230818008877616,0.7895377128953771,0.8596026490066225,0.9246344206974129,2025-12-21 20:17:04
gemma2:27b,Chain-of-Thought,0.7972721636701798,0.7494172494172494,0.8516556291390729,0.9159167604049494,2025-12-22 02:11:21
gemma2:27b,Few-Shot,0.8521626856036152,0.8312342569269522,0.8741721854304636,0.93785151856018,2025-12-22 02:11:21
gemma2:27b,Zero-Shot,0.8032069970845481,0.893030794165316,0.7298013245033113,0.9260404949381328,2025-12-22 02:11:21
llama3.1:8b,Chain-of-Thought,0.7393501805054151,0.8126984126984127,0.6781456953642384,0.90748031496063,2025-12-21 20:00:59
llama3.1:8b,Few-Shot,0.7397793640493187,0.7251908396946565,0.7549668874172185,0.889763779527559,2025-12-21 20:00:59
llama3.1:8b,Zero-Shot,0.6780870806566739,0.7352941176470589,0.6291390728476821,0.8776715410573678,2025-12-21 20:00:59
